Keluhan,NameKeluhan
A1,Merasa Lelah Berlebihan
A2,Badan Terasa Sakit
A3,Demam Dengan Intensitas Ringan Hingga Berat
A4,Badan Menggigil
A5,Radang Tenggorokan
A6,Sakit Kepala
A7,Hidung Tersumbat
A8,Batuk Berdahak
A9,Batuk Darah
A10,Berkeringat Pada Malam Hari
A11,Kehilangan Nafsu Makan
A12,Berat Badan Yang Turun Tanpa Sebab
A13,Pembesaran Kelenjar Getah Bening Di Leher
A14,Batuk
A15,Nafas Berbunyi
A16,Sesak Nafas
A17,Dada Sesak
A18,Suara Sengau
A19,Nafas Tersedu Sedu
A20,Diare
A21,Mual
A22,Penurunan Kesadaran
A23,Nyeri Ketika Batuk
